SKU,Brand,Line,Subline,Series,Figure,Year,Category,Wrestler,images
EliteRSC10,Mattel,Elite,Exclusives,Ringside Collectibles,CM Punk (ECW),2014,Mattel > Elite > Exclusives,CM Punk,
EliteRSC11,Mattel,Elite,Exclusives,Ringside Collectibles,The Rock (1998),2014,Mattel > Elite > Exclusives,The Rock,
EliteRSC12,Mattel,Elite,Exclusives,Ringside Collectibles,Edge (Rated R),2014,Mattel > Elite > Exclusives,Edge,
EliteRSC13,Mattel,Elite,Exclusives,Ringside Collectibles,Shawn Michaels (90's),2015,Mattel > Elite > Exclusives,Shawn Michaels,
EliteRSC14,Mattel,Elite,Exclusives,Ringside Collectibles,Hulk Hogan (American),2015,Mattel > Elite > Exclusives,Hulk Hogan,
EliteRSC15,Mattel,Elite,Exclusives,Ringside Collectibles,Scott Hall,2015,Mattel > Elite > Exclusives,Scott Hall,
EliteRSC16,Mattel,Elite,Exclusives,Ringside Collectibles,Kevin Nash,2016,Mattel > Elite > Exclusives,Kevin Nash,
EliteRSC17,Mattel,Elite,Exclusives,Ringside Collectibles,Chris Jericho (Y2J),2016,Mattel > Elite > Exclusives,Chris Jericho,
EliteRSC18,Mattel,Elite,Exclusives,Ringside Collectibles,Sting (NWO Wolfpac),2016,Mattel > Elite > Exclusives,Sting,
EliteRSC19,Mattel,Elite,Exclusives,Ringside Collectibles,Finn Balor,2017,Mattel > Elite > Exclusives,Finn Balor,
EliteRSC20,Mattel,Elite,Exclusives,Ringside Collectibles,Chris Jericho (The List),2017,Mattel > Elite > Exclusives,Chris Jericho,
EliteRSC21,Mattel,Elite,Exclusives,Ringside Collectibles,Shane McMahon,2017,Mattel > Elite > Exclusives,Shane McMahon,
EliteRSC22,Mattel,Elite,Exclusives,Ringside Collectibles,Macho Man (NWO Wolfpac),2017,Mattel > Elite > Exclusives,Macho Man Randy Savage,
EliteRSC23,Mattel,Elite,Exclusives,Ringside Collectibles,Shawn Michaels (In Your House 97'),2017,Mattel > Elite > Exclusives,Shawn Michaels,
EliteRSC24,Mattel,Elite,Exclusives,Ringside Collectibles,"Bret ""The Hitman"" Hart (King of Ring)",2018,Mattel > Elite > Exclusives,Bret the Hitman Hart,
EliteRSC25,Mattel,Elite,Exclusives,Ringside Collectibles,The Brian Kendrick,2018,Mattel > Elite > Exclusives,Brian Kendrick,
EliteRSC26,Mattel,Elite,Exclusives,Ringside Collectibles,Kurt Angle (The Shield),2018,Mattel > Elite > Exclusives,Kurt Angle,
EliteRSC27,Mattel,Elite,Exclusives,Ringside Collectibles,Matt Hardy (ECW),2018,Mattel > Elite > Exclusives,Matt Hardy,
EliteRSC28,Mattel,Elite,Exclusives,Ringside Collectibles,The Brood Hardy Boyz (Matt and Jeff Hardy),2019,Mattel > Elite > Exclusives,,
EliteRSC29,Mattel,Elite,Exclusives,Ringside Collectibles,Undertaker (as Kane),2019,Mattel > Elite > Exclusives,Undertaker,
EliteRSC30,Mattel,Elite,Exclusives,Ringside Collectibles,Andrade,2019,Mattel > Elite > Exclusives,Andrade,
EliteUK1,Mattel,Elite,Exclusives,United Kingdom,Tyler Bate,2019,Mattel > Elite > Exclusives,Tyler Bate,
